Date,Open,High,Low,Vol.,MAD,Price,BuySell
2014-06-10,644.3,661.4,641.7,3560.0,652.68,654.3785394731661,Pass
2014-06-11,655.6,663.0,642.3,3800.0,652.0,650.067596104639,Pass
2014-06-12,643.0,643.8,591.1,4590.0,646.1600000000001,608.3290557711325,Pass
2014-06-15,583.4,587.8,560.8,3940.0,626.91,570.7203501921241,Pass
2014-06-17,599.1,608.4,594.9,3000.0,617.12,601.4967266207327,Pass
2014-06-18,605.1,614.4,603.6,3310.0,612.64,608.9022575907921,Pass
2014-06-22,597.0,610.1,592.0,2040.0,597.8,602.1431528466053,Pass
2014-06-24,591.2,595.7,585.4,3080.0,596.4300000000001,588.0631666732096,Pass
2014-06-25,588.8,589.6,566.9,3090.0,595.05,572.6048380063121,Pass
2014-06-26,568.5,582.7,565.8,4150.0,593.41,576.5635930207989,Pass
2014-06-29,597.6,604.3,593.2,2890.0,592.35,597.1242001231159,Pass
2014-07-01,635.1,652.5,634.1,4110.0,601.4000000000001,645.7625745380069,Sell
2014-07-02,643.2,652.1,604.6,4780.0,605.61,623.2946692743241,Pass
2014-07-03,645.7,646.4,633.6,4010.0,610.2900000000001,634.2900271803969,Pass
2014-07-04,638.0,642.2,623.0,3600.0,613.8100000000001,628.3023465373044,Pass
2014-07-05,624.0,627.8,619.7,3250.0,619.26,620.8080640470456,Pass
2014-07-08,613.6,619.7,609.3,3210.0,626.57,612.8914795394483,Buy
2014-07-10,623.0,625.0,611.7,3610.0,627.0899999999999,614.1062766945928,Pass
2014-07-11,618.4,633.6,616.1,3120.0,626.06,627.1310588923576,Pass
2014-07-17,614.8,632.5,610.0,2920.0,623.28,624.3710340073557,Pass
2014-07-18,626.6,630.2,617.9,3350.0,624.5,620.640105283851,Pass
2014-07-19,627.5,634.1,625.1,3960.0,624.9,628.0590565418247,Pass
2014-07-23,622.5,625.0,621.0,2170.0,622.41,619.9695936648676,Pass
2014-07-25,601.9,609.1,597.4,5920.0,618.86,602.1846601778244,Pass
2014-07-26,600.5,603.0,593.3,3480.0,616.98,594.9141458282835,Pass
2014-07-29,587.9,591.3,579.5,6720.0,605.74,582.4279973599156,Pass
2014-07-31,564.6,593.7,564.0,3520.0,596.54,587.8433124244391,Pass
2014-08-02,598.8,598.9,587.4,2120.0,591.1700000000001,588.1204493517182,Pass
2014-08-04,588.9,595.1,586.5,3420.0,589.1,589.3945674039986,Pass
